id,strand,fiveseen,polyAseen,threeseen,fiveend,polyAend,threeend,primer,chimera
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/716/578_90_CCS,-,1,1,1,30,518,579,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/718/30_1335_CCS,+,1,1,1,30,1335,1360,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/734/30_947_CCS,+,1,1,1,30,947,976,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/738/31_858_CCS,+,1,1,1,31,858,980,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/752/1337_58_CCS,-,1,1,1,31,1310,1339,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/755/31_1264_CCS,+,1,1,1,31,1264,1291,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/763/2136_56_CCS,-,1,1,1,30,2110,2137,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/785/31_1824_CCS,+,1,1,1,31,1824,1866,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/804/31_2380_CCS,+,1,1,1,31,2380,2409,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/809/985_57_CCS,-,1,1,1,31,959,986,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/825/30_816_CCS,+,1,1,1,30,816,846,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/827/32_3951_CCS,+,1,1,1,32,3951,3981,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/836/31_1073_CCS,+,1,1,1,31,1073,1099,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/838/31_1595_CCS,+,1,1,1,31,1595,1624,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/842/34_1071_CCS,+,1,1,1,34,1071,1094,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/850/2854_57_CCS,-,1,1,1,31,2828,2856,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/856/1480_58_CCS,-,1,1,1,31,1453,1482,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/872/718_52_CCS,-,1,1,1,31,697,721,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/881/1843_57_CCS,-,1,1,1,31,1817,1845,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/882/1106_57_CCS,-,1,1,1,31,1080,1108,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/913/1693_84_CCS,-,1,1,1,46,1655,1710,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/916/31_555_CCS,+,1,1,1,31,555,582,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/928/31_2310_CCS,+,1,1,1,31,2310,2353,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/940/30_2679_CCS,+,1,1,1,30,2679,2708,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/948/1532_110_CCS,-,1,1,1,31,1453,1515,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/952/31_739_CCS,+,1,1,1,31,739,806,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/977/31_620_CCS,+,1,1,1,31,620,648,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/982/30_567_CCS,+,1,1,1,30,567,598,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/995/30_1919_CCS,+,1,1,1,30,1919,2078,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/999/32_492_CCS,+,1,1,1,32,492,676,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1007/30_1969_CCS,+,1,1,1,30,1969,1998,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1012/32_1996_CCS,+,1,1,1,32,1996,2023,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1027/1195_55_CCS,-,1,1,1,30,1170,1196,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1039/2115_64_CCS,-,1,1,1,31,2082,2117,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1042/32_1415_CCS,+,1,1,1,32,1415,1440,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1054/2327_59_CCS,-,1,1,1,31,2299,2329,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1056/1749_51_CCS,-,1,1,1,32,1730,1753,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1062/873_57_CCS,-,1,1,1,30,846,874,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1069/906_79_CCS,-,1,1,1,30,857,907,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1082/713_56_CCS,-,1,1,1,31,688,715,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1084/923_56_CCS,-,1,1,1,31,898,925,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1115/31_946_CCS,+,1,1,1,31,946,975,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1126/719_59_CCS,-,1,1,1,27,687,717,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1131/1119_61_CCS,-,1,1,1,31,1089,1121,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1133/1044_58_CCS,-,1,1,1,28,1014,1043,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1139/672_56_CCS,-,1,1,1,30,646,673,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1146/30_677_CCS,+,1,1,1,30,677,704,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1161/1998_59_CCS,-,1,1,1,45,1984,2013,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1205/31_1122_CCS,+,1,1,1,31,1122,1152,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1224/1445_64_CCS,-,1,1,1,45,1426,1457,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1227/1573_59_CCS,-,1,1,1,31,1545,1574,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1232/32_1791_CCS,+,1,1,1,32,1791,1823,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1235/789_194_CCS,-,1,1,1,30,625,790,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1238/56_1299_CCS,+,1,1,1,56,1299,1327,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1239/895_57_CCS,-,1,1,1,31,869,897,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1240/30_524_CCS,+,1,1,1,30,524,606,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1250/2298_67_CCS,-,1,1,1,31,2262,2300,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1260/1171_57_CCS,-,1,1,1,31,1145,1174,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1274/860_62_CCS,-,1,1,1,30,828,861,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1297/513_57_CCS,-,1,1,1,30,486,514,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1321/1099_58_CCS,-,1,1,1,31,1072,1101,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1322/32_2053_CCS,+,1,1,1,32,2053,2127,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1326/790_122_CCS,-,1,1,1,32,700,793,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1332/836_54_CCS,-,1,1,1,31,813,838,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1337/588_112_CCS,-,1,1,1,30,506,589,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1341/544_57_CCS,-,1,1,1,31,518,546,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1360/599_60_CCS,-,1,1,1,31,570,601,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1367/2378_73_CCS,-,1,1,1,30,2335,2362,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1371/2311_62_CCS,-,1,1,1,50,2299,2332,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1404/1348_51_CCS,-,1,1,1,31,1328,1350,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1427/3416_62_CCS,-,1,1,1,33,3387,3419,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1439/31_812_CCS,+,1,1,1,31,812,840,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1452/31_1969_CCS,+,1,1,1,31,1969,1995,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1453/1174_59_CCS,-,1,1,1,31,1146,1177,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1467/865_60_CCS,-,1,1,1,31,836,867,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1473/30_2183_CCS,+,1,1,1,30,2183,2211,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1474/30_898_CCS,+,1,1,1,30,898,927,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1475/31_2351_CCS,+,1,1,1,31,2351,2375,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1476/31_602_CCS,+,1,1,1,31,602,630,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1482/30_566_CCS,+,1,1,1,30,566,597,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1487/3031_63_CCS,-,1,1,1,30,2998,3032,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1501/557_54_CCS,-,1,1,1,31,534,559,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1510/1259_56_CCS,-,1,1,1,31,1234,1261,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1534/1880_55_CCS,-,1,1,1,33,1858,1884,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1555/31_534_CCS,+,1,1,1,31,534,560,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1570/31_981_CCS,+,1,1,1,31,981,1017,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1580/942_56_CCS,-,1,1,1,31,917,944,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1581/31_917_CCS,+,1,1,1,31,917,945,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1589/2575_61_CCS,-,1,1,1,30,2544,2575,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1590/31_1076_CCS,+,1,1,1,31,1076,1101,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1593/582_57_CCS,-,1,1,1,31,556,584,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1597/30_1667_CCS,+,1,1,1,30,1667,1699,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1605/892_62_CCS,-,1,1,1,29,859,892,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1608/883_59_CCS,-,1,1,1,31,855,885,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1618/31_1788_CCS,+,1,1,1,31,1788,1816,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1639/31_1029_CCS,+,1,1,1,31,1029,1054,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1640/1146_61_CCS,-,1,1,1,31,1116,1148,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1647/31_1842_CCS,+,1,1,1,31,1842,1945,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1671/2462_62_CCS,-,1,1,1,45,2445,2476,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1674/1465_56_CCS,-,1,1,1,31,1440,1467,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1675/1398_55_CCS,-,1,1,1,31,1374,1400,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1699/31_2339_CCS,+,1,1,1,31,2339,2491,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1701/1120_63_CCS,-,1,1,1,30,1087,1121,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1702/1720_57_CCS,-,1,1,1,30,1693,1721,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1741/30_2028_CCS,+,1,1,1,30,2028,2062,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1756/31_824_CCS,+,1,1,1,31,824,887,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1758/31_1901_CCS,+,1,1,1,31,1901,1929,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1764/30_870_CCS,+,1,1,1,30,870,900,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1778/31_1836_CCS,+,1,1,1,31,1836,1866,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1788/564_59_CCS,-,1,1,1,46,551,579,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1794/1872_57_CCS,-,1,1,1,31,1846,1874,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1800/31_1576_CCS,+,1,1,1,31,1576,1635,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1809/854_56_CCS,-,1,1,1,30,828,853,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1817/31_1851_CCS,+,1,1,1,31,1851,1867,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1818/31_534_CCS,+,1,1,1,31,534,561,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1823/2230_181_CCS,-,1,1,1,31,2080,2232,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1852/32_2319_CCS,+,1,1,1,32,2319,2348,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1860/1356_60_CCS,-,1,1,1,31,1327,1358,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1884/31_1059_CCS,+,1,1,1,31,1059,1087,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1889/879_59_CCS,-,1,1,1,43,863,889,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1904/1246_59_CCS,-,1,1,1,30,1217,1247,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1905/1165_59_CCS,-,1,1,1,47,1153,1182,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1906/2108_60_CCS,-,1,1,1,32,2080,2111,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1923/28_1317_CCS,+,1,1,1,28,1317,1342,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1931/2099_57_CCS,-,1,1,1,31,2073,2101,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1932/1863_59_CCS,-,1,1,1,31,1835,1865,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1938/31_2891_CCS,+,1,1,1,31,2891,2920,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1941/1739_56_CCS,-,1,1,1,31,1714,1741,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1950/1587_104_CCS,-,1,1,1,31,1514,1589,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1954/31_2126_CCS,+,1,1,1,31,2126,2181,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1955/1316_57_CCS,-,1,1,1,31,1290,1318,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1956/31_2002_CCS,+,1,1,1,31,2002,2032,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/1966/517_55_CCS,-,1,1,1,31,493,519,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2004/2350_60_CCS,-,1,1,1,32,2322,2353,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2007/682_57_CCS,-,1,1,1,30,655,683,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2011/584_59_CCS,-,1,1,1,31,556,586,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2014/2719_59_CCS,-,1,1,1,46,2706,2734,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2024/31_1227_CCS,+,1,1,1,31,1227,1266,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2026/31_2093_CCS,+,1,1,1,31,2093,2121,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2028/1886_77_CCS,-,1,1,1,31,1840,1888,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2036/1127_58_CCS,-,1,1,1,31,1100,1129,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2039/31_969_CCS,+,1,1,1,31,969,995,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2042/31_1226_CCS,+,1,1,1,31,1226,1294,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2052/1567_58_CCS,-,1,1,1,31,1540,1569,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2055/31_2327_CCS,+,1,1,1,31,2327,2356,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2063/1526_55_CCS,-,1,1,1,31,1502,1528,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2070/30_979_CCS,+,1,1,1,30,979,1038,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2076/945_63_CCS,-,1,1,1,31,913,947,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2095/2001_55_CCS,-,1,1,1,31,1977,2003,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2103/1332_55_CCS,-,1,1,1,31,1308,1334,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2105/2580_61_CCS,-,1,1,1,31,2550,2582,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2112/3049_55_CCS,-,1,1,1,31,3025,3050,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2114/683_55_CCS,-,1,1,1,31,659,685,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2122/1850_62_CCS,-,1,1,1,31,1819,1852,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2130/1554_53_CCS,-,1,1,1,27,1528,1554,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2141/761_58_CCS,-,1,1,1,30,733,762,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2142/31_1408_CCS,+,1,1,1,31,1408,1435,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2144/33_1891_CCS,+,1,1,1,33,1891,1923,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2147/31_1394_CCS,+,1,1,1,31,1394,1421,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2148/791_56_CCS,-,1,1,1,30,765,792,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2156/3263_58_CCS,-,1,1,1,27,3232,3261,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2161/522_57_CCS,-,1,1,1,30,495,523,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2167/850_61_CCS,-,1,1,1,30,819,851,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2169/31_1771_CCS,+,1,1,1,31,1771,1804,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2188/1097_56_CCS,-,1,1,1,31,1072,1099,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/2193/30_946_CCS,+,1,1,1,30,946,968,1,0
